step = 227, t = 0.00019063538706740713, dt = 3.3473547092047666e-7
step = 228, t = 0.00019092947674521156, dt = 2.9408967780442746e-7
step = 229, t = 0.000191223566423016, dt = 2.9408967780442746e-7
step = 230, t = 0.00019151765610082042, dt = 2.9408967780442746e-7
step = 231, t = 0.00019181174577862485, dt = 2.9408967780442746e-7
step = 232, t = 0.00019210583545642928, dt = 2.9408967780442746e-7
step = 233, t = 0.0001923999251342337, dt = 2.9408967780442746e-7
step = 234, t = 0.00019269401481203813, dt = 2.9408967780442746e-7
step = 235, t = 0.00019298810448984256, dt = 2.9408967780442746e-7
step = 236, t = 0.000193282194167647, dt = 2.9408967780442746e-7
step = 237, t = 0.00019357628384545142, dt = 2.9408967780442746e-7
step = 238, t = 0.00019387037352325585, dt = 2.9408967780442746e-7
step = 239, t = 0.00019416446320106028, dt = 2.9408967780442746e-7
step = 240, t = 0.0001944585528788647, dt = 2.9408967780442746e-7
step = 241, t = 0.00019475264255666914, dt = 2.9408967780442746e-7
step = 242, t = 0.00019504673223447356, dt = 2.9408967780442746e-7
step = 243, t = 0.000195340821912278, dt = 2.9408967780442746e-7
step = 244, t = 0.00019563491159008242, dt = 2.9408967780442746e-7
step = 245, t = 0.00019592900126788685, dt = 2.9408967780442746e-7
step = 246, t = 0.00019622309094569128, dt = 2.9408967780442746e-7
step = 247, t = 0.0001965171806234957, dt = 2.9408967780442746e-7
step = 248, t = 0.00019681127030130014, dt = 2.9408967780442746e-7
step = 249, t = 0.00019710535997910457, dt = 2.9408967780442746e-7
step = 250, t = 0.000197399449656909, dt = 2.9408967780442746e-7
step = 251, t = 0.00019769353933471342, dt = 2.9408967780442746e-7
step = 252, t = 0.00019798762901251785, dt = 2.9408967780442746e-7
step = 253, t = 0.00019828171869032228, dt = 2.9408967780442746e-7
step = 254, t = 0.0001985758083681267, dt = 2.9408967780442746e-7
step = 255, t = 0.00019886989804593114, dt = 2.9408967780442746e-7
step = 256, t = 0.00019916398772373557, dt = 2.9408967780442746e-7
step = 257, t = 0.00019945807740154, dt = 2.9408967780442746e-7
step = 258, t = 0.00019975216707934443, dt = 2.9408967780442746e-7
step = 259, t = 0.00020004625675714886, dt = 2.9408967780442746e-7
step = 260, t = 0.00020034034643495328, dt = 2.9408967780442746e-7
step = 261, t = 0.0002006344361127577, dt = 2.9408967780442746e-7
step = 262, t = 0.00020092852579056214, dt = 2.9408967780442746e-7
step = 263, t = 0.00020122261546836657, dt = 2.9408967780442746e-7
step = 264, t = 0.000201516705146171, dt = 2.9408967780442746e-7
step = 265, t = 0.00020181079482397543, dt = 2.9408967780442746e-7
step = 266, t = 0.00020210488450177986, dt = 2.9408967780442746e-7
step = 267, t = 0.0002023989741795843, dt = 2.9408967780442746e-7
step = 268, t = 0.00020269306385738872, dt = 2.9408967780442746e-7
step = 269, t = 0.00020298715353519314, dt = 2.9408967780442746e-7
step = 270, t = 0.00020328124321299757, dt = 2.9408967780442746e-7
step = 271, t = 0.000203575332890802, dt = 2.9408967780442746e-7
step = 272, t = 0.00020386942256860643, dt = 2.9408967780442746e-7
step = 273, t = 0.00020416351224641086, dt = 2.9408967780442746e-7
step = 274, t = 0.0002044576019242153, dt = 2.9408967780442746e-7
step = 275, t = 0.00020475169160201972, dt = 2.9408967780442746e-7
